标题,评分,评分人数,导演,主演,类型,上映日期,片长,剧情简介,海报图片,制片国家/地区,语言,又名,IMDb,豆瓣url,集数
如实陈述 본대로 말하라,6.9,5872,金尚勋,"张赫, 崔秀英, 陈瑞妍, 李时媛, 张铉诚, 柳承秀, 音文硕, 夏成光","剧情, 悬疑, 惊悚",2020-02-01(韩国),60分钟,"该剧讲述的是性格怪异的天才侧写师和拥有过目不忘特殊能力的刑警，两人一起追查被认为已经死亡的连环杀人魔的故事。
                                    
                                　　张赫饰演的「吴贤宰」是个性格古怪的隐居者，曾经是个职业侧写师，为了追查杀死未婚妻的连环杀人魔，与新人刑警合作。崔秀英饰演的「车秀英」是一位新人刑警，拥有超强记忆力，一瞬间能将所有事情记下，如同照片一样生动记忆的特殊能力。",https://img1.doubanio.com/view/photo/s_ratio_poster/public/p2580154038.jpg,韩国,韩语,看见什么说什么 / 看见什么说什么，照实而述 / 说你看到的 / Tell Me What You Saw,tt11557904,https://movie.douban.com/subject/34617192/,16
奇异博士2：疯狂多元宇宙 Doctor Strange in the Multiverse of Madness,6.3,258136,山姆·雷米,"本尼迪克特·康伯巴奇, 伊丽莎白·奥尔森, 切瓦特·埃加福, 王汉斌, 索契尔·戈麦斯, 瑞秋·麦克亚当斯, 迈克尔·斯图巴, 帕特里克·斯图尔特, 海莉·阿特维尔, 约翰·卡拉辛斯基, 拉什纳·林奇, 安松·蒙特, 查理兹·塞隆, 希拉·阿蒂姆, 亚当·赫吉尔, 亚子·米切尔, 杨沫沫, 丹尼尔·斯温, 多波·雷斯尼怀罗, 伊登·纳森森, 维尼·莫利, 大卫·谢, 乔丹·亚历桑德拉, 迈克尔·沃尔德伦, 朱利安·希威德, 杰特·克莱恩, 布鲁斯·坎贝尔, 马里安·洛伦西克","动作, 科幻, 恐怖, 奇幻, 冒险",2022-05-04(中国台湾),126分钟,充满无限未知的疯狂多元宇宙即将展开，一切皆有可能。,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p2872533452.jpg,美国,英语 / 西班牙语,奇异博士2 / 斯特兰奇博士2 / 奇异博士2：失控多重宇宙(港/台) / 奇异博士2: 失控多元宇宙(港) / Doctor Strange 2 / Doctor Strange: in the Multiverse of Madness,tt9419884,https://movie.douban.com/subject/30304994/,1
天国与地狱 天国と地獄 ～サイコな2人～,7.9,48847,平川雄一朗,"绫濑遥, 高桥一生, 北村一辉, 柄本佑, 沟端淳平, 中村友理, 迫田孝也, 林泰文, 野间口彻, 吉見一豊, 马场彻, 谷恭辅, 岸井雪乃, 木场胜己","悬疑, 犯罪",2021-01-17(日本),54分钟,绫濑遥、高桥一生、柄本佑和北村一辉将合作TBS新剧《天国与地狱》(天国と地獄，暂译)，本剧将于2021年1月开播。绫濑遥将饰演本剧女主角、东京警视厅搜查一课的正义女警望月彩子，不幸与高桥一生饰演的高智商杀人犯日高互换灵魂，两个人从说话、生活到思维方式都发了逆转，日子变得一团糟，而柄本佑饰演的邻家自由业者渡边，和北村一辉饰演的彩子上司河原，也参与其中。本剧编剧为森下佳子(《乱世花道》《天皇的御厨》)，导演为平川雄一朗(《天皇的御厨》)、松木彩(《半泽直树2》)和青山贵洋，每周日晚9点播出。,https://img1.doubanio.com/view/photo/s_ratio_poster/public/p2872180448.jpg,日本,日语,逆转刑警 / Heaven and Hell: Soul Exchange / Heaven and Hell,tt14316440,https://movie.douban.com/subject/35243063/,10
康斯坦丁 Constantine,8.1,244274,弗朗西斯·劳伦斯,"基努·里维斯, 蕾切尔·薇兹, 希亚·拉博夫, 杰曼·翰苏, 麦克斯·贝克, 普路特·泰勒·文斯, 盖文·罗斯戴尔, 蒂尔达·斯文顿, 彼得·斯特曼, 何塞·祖尼加, 弗朗西斯·奎南, 拉里·塞达尔, 艾普尔·格雷斯, 苏赞尼·王恩, 尼古拉斯·唐斯, 塔诺埃·里德, 奎因·布尼尔, 安·里耶森, 康纳·迪伦·乌林, 拉兹·阿隆索, 杰瑞米·雷·瓦尔迪兹, 芭芭拉·普莱恩, 凯文·阿历詹卓, 瓦莱丽·阿兹林, 艾琳·迪茨, 乔伊·保罗·高迪, 多米诺·哈维, 穆罕默德·哈桑, 迈克尔·凯斯, 安德烈斯·朗多罗, 马修·麦克格罗里, 米歇尔·莫纳汉, 马丁·皮埃隆, R·A·郎德尔, 埃里克·鲁斯纳克, 丹尼·萨莱, 查德·斯塔赫斯基, 托尼·斯威夫特","动作, 惊悚, 奇幻",2005-02-18(美国),121分钟,"康斯坦丁（奇诺•李维斯 Keanu Reeves 饰）生来就能看出游走在人间的恶魔与天使，这令年幼时的他十分痛苦，曾经自杀想以这种方式结束自己的痛苦。后来获悉了上帝与撒旦之间有过协议，谁也不能直接插足人间，只能间接诱使人们选择天堂与地狱，而自杀者不得上天堂，他便开始利用自己天赋的超能力帮助铲除人间的恶魔，以此祈求获得一张天堂的门票。
                                    
                                　　一次在帮助一名女警调查她的妹妹的离奇死亡事件时，康斯坦丁意外获释了天使长加百利意图和撒旦的儿子联手统治人间的阴谋。康斯坦丁当然要竭尽全力阻止这一黑暗降临人间……",https://img1.doubanio.com/view/photo/s_ratio_poster/public/p907374250.jpg,美国 / 德国,英语 / 菲律宾语 / 他加禄语,魔间行者(港) / 康斯坦汀：驱魔神探(台) / 地狱神探,tt0360486,https://movie.douban.com/subject/1309021/,1
国王排名 王様ランキング,7.8,182630,八田洋介,"日向未南, 村濑步, 梶裕贵, 佐藤利奈, 江口拓也, 上田耀司, 安元洋贵, 田所阳向, 山下大辉, 三宅健太, 本田贵子, 坂本真绫, 下山吉光, 樱井孝宏","剧情, 动画, 冒险",2021-10-15(日本),24分钟,"国家的丰饶、麾下勇者的数量、以及国王本人如何像勇者一般强大，这些要素的综合排名，便是所谓的“国王排名”。
                                    
                                　　主人公波吉是国王排名第七名的伯斯王治下王国的第一王子。但是波吉却生来耳不能闻，贫弱到挥不动剑。不止家臣甚至连民众都轻蔑地说「他实在不是当国王的料」。这样的波吉人生中第一位交到的朋友，卡克。
                                    
                                　　与卡克的邂逅，以及那些微小的勇气中诞生的，波吉人生的巨变将要开始——",https://img3.doubanio.com/view/photo/s_ratio_poster/public/p2681362557.jpg,日本,日语,Ranking of Kings / Ousama Ranking,tt13409432,https://movie.douban.com/subject/34927946/,23
四海,5.3,271801,韩寒,"刘昊然, 刘浩存, 沈腾, 尹正, 乔杉, 周奇, 张宥浩, 冯绍峰, 黄晓明, 王彦霖, 陈小春, 吴彦姝, 万梓良, 赵子琪","喜剧, 动作, 爱情",2022-02-01(中国大陆),128分钟,"一个偏僻的临海小镇，黄发小青年吴仁耀（刘昊然 饰）依靠摩托特技为生，他喜欢上了美丽女孩周欢颂（刘浩存 饰），谁知却因此招惹上了欢颂的哥哥周欢歌（尹正 饰）。欢歌颇为欣赏阿耀的车技，于是将其招入自己的车队。阿耀为欢歌的豪爽直率所感染，无奈笑语欢歌有穷尽，这位车队大佬意外身亡，将青年男女的幻想彻底打破。巨额的债务转嫁到欢颂身上，逼不得已，阿耀只得和女孩前往大城市打拼。在这一过程中，男孩还重逢了久未见面的父亲吴仁腾（沈腾 饰）。
                                    
                                　　生活巨变，时代沧桑，畸零之人随波逐流，又奋楫博浪……",https://img3.doubanio.com/view/photo/s_ratio_poster/public/p2867433563.jpg,中国大陆,汉语普通话,年轻的故事 / Only Fools Rush In,tt14509614,https://movie.douban.com/subject/35337517/,1
咒怨 呪怨,7.6,165404,清水崇,"奥菜惠, 伊东美咲, 上原美佐, 市川由衣, 津田宽治, 藤贵子","悬疑, 恐怖",2002-10-18(Screamfest恐怖电影节),92 分钟,"东京近郊一间屋被传是阴森鬼屋，说但凡拜访者进入，都会离奇毙命或神秘失踪。传说当年该屋的主人曾因突至的狂性大发斩死妻子，尔后自杀，其6岁的儿子从此失踪，至今下落不明，鬼屋自此怨气冲天，每一位到访者都会在瞬间被恐怖笼罩。
                                    
                                　　大学女生理佳（奥菜惠）因做义工无意间闯入该屋，在遍寻不着要照顾的老人后，她于无意间瞥见一个神秘诡异男孩，但转眼男孩又失踪。自此，诸多恐怖怪事开始接二连三在理佳身上发生，其身边的亲朋好友也一一受到牵连。",https://img3.doubanio.com/view/photo/s_ratio_poster/public/p2410260517.jpg,日本,日语,Ju-on: The Grudge,tt0364385,https://movie.douban.com/subject/1306808/,1
咒中人 คน มนตร์ เวท,7.4,4400,帕萨·松潘,"梅塔文·欧帕西安卡琼, 查妮甘·唐卡伯缇, 甘雅拉·露安珑, 普琳雅帕·劳素万斯莉","爱情, 惊悚, 恐怖",2023-07-15(泰国),45分钟,"Fah ( Chanikarn Tangkabodee ) 是 Satrikurat 学校 12 年级的学生，该学校是该国最负盛名的教育机构之一。该学校以其严格的学术标准而闻名，这往往导致学生过分关注成绩和考试结果。Fah也不例外。有一天，一名优等生在压力下突然爆发，刺伤了一名老师，造成严重伤害。虽然学校将此归因于学业压力，但 Fah 怀疑情况不止于此，似乎她的世界正在慢慢显露出隐藏的裂缝。
                                    
                                　　当更多的奇怪事件发生时，这些异常现象似乎与一位名叫Arjin（ Metawin Opas-iamkajorn 饰）的神秘新老师有关。乍一看，他显得有些困惑和笨拙，但他身上有一种东西让 Fah 着迷。她对这些谜团的深入参与使她走向了一个比她想象的更加危险的世界。她一直认为这个世界只是想象中的虚构，但她开始意识到，只要有足够的信念，它可能就会成为现实。",https://img1.doubanio.com/view/photo/s_ratio_poster/public/p2893995740.jpg,泰国,泰语,Enigma,tt23874798,https://movie.douban.com/subject/36166191/,4
咒,6.9,166442,柯孟融,"蔡亘晏, 黄歆庭, 高英轩, 林敬伦, 温庆禹, 彭海义, 黄玲, 宋燕旻, 陈昭妃, 谢采洁, 林义钦, 常在兴, 洪毓璟",恐怖,2022-03-18(中国台湾),110分钟,"六年前，怀孕的李若男（蔡亘宴 饰）、陈立东（林敬伦 饰）和陈振原（温庆禹 饰）秉着破除迷信的态度进入了陈家村，据说那里供奉着不可冒犯的神明。陈立东和陈振原因为传入了祭坛所在的禁地而招致了灭顶之灾，李若男虽然逃过一死，精神却受到了极大的冲击。
                                    
                                　　此事过后，李若男生下了一个女儿，因为怕触犯禁忌，李若男将女儿寄养在孤儿院中。之后，李若男一直接受着心理治疗，一晃眼就是六年过去。当李若男觉得一切都已经平息之后，她将女儿陈乐瞳（黄歆庭 饰）接回了自己身边，哪知道女儿刚到家没多久，家中便屡屡出现可怕的异像，年幼的陈乐瞳似乎和曾经陈家村所供奉的神明有着千丝万缕的联系。",https://img1.doubanio.com/view/photo/s_ratio_poster/public/p2871258860.jpg,中国台湾,汉语普通话 / 闽南语,Incantation,tt18968540,https://movie.douban.com/subject/34850561/,1
名侦探柯南：万圣节的新娘 名探偵コナン ハロウィンの花嫁,7.3,187184,满仲劝,"高山南, 古谷彻, 山崎和佳奈, 小山力也, 林原惠美, 山口胜平, 高木涉, 汤屋敦子, 三宅健太, 绪方贤一, 岩居由希子, 大谷育江, 松井菜樱子, 茶风林, 井上和彦, 千叶一伸, 田中理惠, 杉本优, 飞田展男, 中田让治, 志村知幸, 木内太郎, 松本健太, 拜真之介, 铃木琢磨, 金子诚, 庆长佑香, 山口由里子, 白石麻衣, 大岛美优, 神奈延年, 三木真一郎, 东地宏树, 绿川光","动作, 动画, 悬疑",2022-11-18(中国大陆),111分钟,"正值万圣节之际，东京涉谷热闹非凡。涉谷HIKARIE大厦里正在举办一场婚礼，身着婚纱的便是——警视厅的佐藤警官。当柯南等宾客都在见证这场婚礼的时候，突如其来的暴徒向佐藤扑去！高木为了保护佐藤而受伤，好在性命无忧。可这时映入佐藤眼里的，是三年前爆炸事件松田阵平殉职时出现的死神的幻影，这一次出现在了高木的身上。
                                    
                                　　与此同时，那场连续爆炸事件的犯人越狱了！这是巧合吗？
                                    
                                　　这个犯人同时也是公安警察降谷零(安室透)宿命的敌人，因为他害死了自己的同学松田。在即将追到犯人之际，突然出现了一个神秘的变装人物，给安室装上了项圈炸弹。为了解除项圈炸弹，柯南赶到了安室潜伏的地下避难所。柯南从安室口中得知了另一桩事件——三年前，安室和警校同学(现已亡)在涉谷遇到了身份不明的变装炸弹犯「普拉米亚」。
                                    
                                　　然而这时，危险已经开始笼罩搜查中的柯南等人……",https://img3.doubanio.com/view/photo/s_ratio_poster/public/p2883894742.jpg,日本,日语 / 俄语,名侦探柯南剧场版25 / Detective Conan: The Bride of Halloween,tt19770970,https://movie.douban.com/subject/35437938/,1
名侦探柯南 名探偵コナン,9.2,181504,儿玉兼嗣,"高山南, 山崎和佳奈, 神谷明, 小山力也, 林原惠美, 山口胜平, 田中秀幸, 岛本须美, 绪方贤一, 堀川亮, 松井菜樱子, 宫村优子, 岩居由希子, 大谷育江, 高木涉, 高岛雅罗, 堀之纪, 立木文彦, 小山茉美, 三石琴乃, 置鲇龙太郎, 日高范子, 池田秀一, 古谷彻","动作, 动画, 悬疑, 惊悚, 犯罪",1996-01-08(日本),25分钟,工藤新一是全国著名的高中生侦探，在一次追查黑衣人犯罪团伙时不幸被团伙成员发现，击晕后喂了神奇的药水，工藤新一变回了小孩！新一找到了经常帮助他的阿笠博士，博士为他度身打造不少间谍武器。为了防止犯罪团伙对他进行报复，新一决定隐姓埋名，暗中追查他们，希望能得到解药。一日，新一 的女友毛利兰来到了阿笠博士的家寻找男友的下落，被小兰撞见的新一情急之下编造了自己名叫江户川柯南，随后柯南寄居在了小兰家。小兰的父亲毛利小五郎是一名私家侦探，新一可以籍着和他一起四出办案一起追查黑夜人的下落。柯南在小学认识步美等小学生，他们一起组织了一个少年侦探团，向罪犯宣战！,https://img9.doubanio.com/view/photo/s_ratio_poster/public/p2257391444.jpg,日本,日语 / 英语 / 德语 / 西班牙语 / 意大利语 / 法语 / 阿拉伯语 / 塔加路语 / 汉语普通话,Detective Conan / Meitantei Conan / Case Closed,tt0131179,https://movie.douban.com/subject/1463371/,1
发丘天官：昆仑墟,3.7,1016,海涛,"裴子添, 王婷, 安唯绫, 李子雄, 唐文龙","动作, 奇幻, 冒险",2022-03-20(中国大陆),80分钟,"讲述了民国年间，发丘一脉的传人张闻风为寻找父亲失踪真相，与伙伴贾鲁班、钟灵三人不得不踏上凶险万分的古墓之旅，探寻真相的故事。
                                    
                                　　张闻风为寻找父亲失踪真相，与同伴贾鲁班、钟灵一起踏上了凶险万分的昆仑之旅，几人所及之处诡秘又猎奇，还来不及探寻这背后的神秘力量，下一场离奇灾难又再次来袭，而这一切的种种，仿佛都在预示着什么……",https://img9.doubanio.com/view/photo/s_ratio_poster/public/p2613872194.jpg,中国大陆,汉语普通话,天地宝藏：昆仑墟 / 发丘天棺：昆仑墟,无,https://movie.douban.com/subject/35073515/,1
釜山行2：半岛 부산행2-반도,5.1,133251,延尚昊,"姜栋元, 李贞贤, 权海骁, 李来, 金敏载, 具教焕, 金度允, 李艺媛, 张素妍, 文宇振, 丹尼尔·乔伊·奥尔布赖特, 车始元, Pierce Conran, 特莉·多蒂, Geoffrey Giuliano, Christopher Gordon, Yeon-hee Hwang","动作, 惊悚, 恐怖",2020-07-15(韩国),115分钟,"故事承接上一部，开完釜山的列车带来丧尸病毒。转眼四年过去，病毒蔓延全国，朝鲜半岛遭到全世界遗弃。退伍军人正锡（姜东元 饰）在最后时刻带着家人们登上难民船，谁知船上依然混入了被感染者，悲剧再度上演。最终，难民船改道开往中国香港，侥幸逃生的正锡以难民身份在这座城市的最底层艰难求生。偶然机缘，他接到一个“地下任务”，美国人在韩国遗失了巨额现金，亟需有人能够潜入这片死亡区域把钱取回来，与此同时这些人能够取得丰厚报酬。看在钱的份上，正锡和一群同伴踏上了这片熟悉而又陌生的土地。
                                    
                                　　夜幕降临的韩国，四周一片死寂，而那些沉睡良久的丧尸，似乎正等待着“食物”的到来……",https://img3.doubanio.com/view/photo/s_ratio_poster/public/p2610358497.jpg,韩国,韩语 / 英语 / 粤语,釜山行2 / 半岛 / 尸杀半岛(港) / 尸速列车：感染半岛(台) / Peninsula / Train to Busan 2,tt8850222,https://movie.douban.com/subject/30299515/,1
前任4：英年早婚,5.6,138505,田羽生,"韩庚, 郑恺, 于文文, 刘雅瑟, 曾梦雪, 张天爱, 朱颜曼滋, 罗米, 冯铭潮, 药一樍, 于惠, 苗艺博, 田羽生, 张栾","喜剧, 爱情",2023-09-28(中国大陆),129分钟,孟云（韩庚 饰）和余飞（郑恺 饰）这对难兄难弟，在历经情场的洗礼之后，终于来到了谈婚论嫁的年纪。正在经历“分手后遗症”的孟云，面对家人的催促，带着“为什么要结婚”的疑问，开始寻找真爱；而余飞和女友丁点（曾梦雪 饰）为了应对结婚后即将产生的各种情况，自创了“结婚冷静期”，将婚后生活提前预演。两兄弟开启一场全新的爱情挑战……,https://img1.doubanio.com/view/photo/s_ratio_poster/public/p2898244180.jpg,中国大陆,汉语普通话,前任4 / 分手清单 / 前任：分手清单 / 前任攻略4 / The Ex-Files 4: Marriage Plan,tt26911640,https://movie.douban.com/subject/35358443/,1
初恋 First Love 初恋,8.5,139583,寒竹百合,"满岛光, 佐藤健, 八木莉可子, 木户大圣, 夏帆, 小泉今日子, 荒木飞羽, 山田葵, 美波, 中尾明庆, 若林时英, 长泽树, 新津知世, 滨田岳, 向井理, 井浦新, 古馆宽治, 吉田志织, 浅田芭路, 岩川晴, 渡边真起子, 冈部敬史, 县森鱼, 清田实栗, 黑田大辅, 水泽绅吾, 森达也, 须藤莲, 樱井健人, 松浦祐也, 松田真织, 坂本美雨, 又吉直树, 田中シェン, 银粉蝶, 曽我部恵一","剧情, 爱情",2022-11-24(日本),50分钟,这是一部跨越年代的爱情故事，灵感来源于宇多田光的两首知名金曲《First Love》(1999) 和《初恋》(2018)。两个少年在 90 年代末第一次坠入爱河；二十年后，一位即将订婚，而另一位则已离婚，与初涉情网的十几岁的儿子一起生活。,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p2883789917.jpg,日本,日语 / 日本手语,First Love,tt15289042,https://movie.douban.com/subject/35275350/,9
假面骑士黑日 仮面ライダーBLACK SUN,8.0,11455,白石和弥,"西岛秀俊, 中村伦也, 平泽宏宏路, 木村舷碁, 中村梅雀, 吉田羊, プリティ太田, 三浦贵大, 音尾琢真, 滨田岳, 芋生悠",动作,2022-10-28(日本),44分钟,讲述青年南光太郎和弟弟秋月信彦被选中成为“黑日”和“影月”，为击溃戈尔哥姆的阴谋和救出信彦，未被洗脑的光太郎以“假面骑士BLACK”之名展开了战斗。,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p2874445893.jpg,日本,日语,Kamen Rider Black Sun / 蒙面超人BLACK SUN(港),tt14377480,https://movie.douban.com/subject/35422940/,10
修女 The Nun,6.1,64185,科林·哈迪,"德米安·比齐尔, 泰莎·法米加, 乔纳斯·布洛凯, 邦妮·阿伦斯, 维拉·法米加, 帕特里克·威尔森, 英格丽·温, 夏洛特·霍普, 桑德拉·特蕾丝, 奥古斯特·马图洛, 迈克尔·史麦利, 大卫·霍罗维奇, 丽丽·博尔丹, 斯嘉丽·希克斯, 丽兹·科菲, 迪·布拉雷·贝克尔, 黛布拉·威尔逊, 马克·斯达格, 莉迪亚·科洛科, 艾玛·阿普尔顿, 约翰尼·科瓦内, 丹尼尔·曼德尔, 西蒙·瑞, 桑德拉·罗斯科","悬疑, 惊悚, 恐怖",2018-09-07(美国),96分钟,"远在罗马尼亚乡间的一所修道院发生修女自杀事件。为此，梵蒂冈委派伯克神父（德米安·比齐尔 Demián Bichir 饰）和见习修女艾琳（泰莎·法米加 Taissa Farmiga 饰）前去调查。抵达目的地后，他们首先找到了定期给该修道院运送物资的法国青年弗兰切（乔纳斯·布洛凯 Jonas Bloquet 饰），而他正是第一个发现修女尸体的目击人。三人进入修道院，里面的气氛阴森鬼魅，修女们则飘忽不定，有如幽灵。看不见面容的修道院长称修女们正在静默祈祷，第二天才能回答他们的问题。无奈之下，伯克神父一行只好暂时在修道院落脚。
                                    
                                　　可是随着夜幕降临，真正的恐怖开始浮现，恶魔对虔诚的信仰展开了毫无差别的狙杀……",https://img9.doubanio.com/view/photo/s_ratio_poster/public/p2528357976.jpg,美国 / 罗马尼亚,英语 / 法语 / 罗马尼亚语 / 拉丁语,诡修女(港) / 鬼修女(台) / 招魂外传 / Valak,tt5814060,https://movie.douban.com/subject/26825664/,1
俄亥俄州的魔鬼 Devil in Ohio,6.2,1011,史蒂文·A·阿德尔森,"艾米丽·丹斯切尔, 玛德琳娜·亚瑟, 斯黛西 法波, 阿莉莎·牛顿, 山姆·贾格, 塔莫·潘尼凯, 基南·特雷西, 萨曼莎·费里斯, 阿德里安·贝拉尼, 布拉德利·斯泰克尔, 玛茜·T·豪斯, 泰·伍德, Djouliet Amara, 娜奥米·陈, 萨里亚·多特森, 埃娃·布恩, 詹妮弗·科平, 莱拉·菲茨杰拉德, 莉亚·弗兰克兰, 卡罗琳·凯芙, 斯特凡尼亚·因德里凯托, 芭芭拉·泰森, Mike Ennis","剧情, 悬疑, 惊悚, 恐怖",2022-09-02(美国),,精神科女医生决意保护逃出神秘邪教的年轻女患者，怎料竟因此牵连家人，自己的小命都可能不保。,https://img1.doubanio.com/view/photo/s_ratio_poster/public/p2877741418.jpg,加拿大 / 美国,英语,俄亥俄的魔鬼,tt15432016,https://movie.douban.com/subject/35739313/,8
侠探杰克 第一季 Reacher Season 1,8.0,18219,托马斯·文森特,"阿兰·里奇森, 马尔科姆·古德温, 薇拉·菲茨杰拉德, 克莉斯汀·克鲁克, 布鲁斯·麦克吉尔, 克里斯·韦伯斯特, 哈维·吉兰, 麦克斯维尔·詹金斯, 库里·格拉汉姆, 马克·本达维德, 威利·C·卡彭特, 乔纳森考斯庚, Leslie Fray, Gavin White, 马修·马斯登, 拉娜·珍·科洛斯特奇, 阿莉·约翰逊, 迪伦·特罗布里奇, 休·汤普森, 玛丽亚·斯坦, 伊里·哈姆, 克里斯托弗·拉塞尔, 亚历桑德拉·卡斯蒂略, 布雷丹·贝塞尔, Jackie Richardson, 罗恩·米德, Laurie Murdoch, Tracey Rooney, 吉姆·查德",动作,2022-02-04(美国),60分钟,Jack Reacher在小说中曾经是美国陆军的军警，离开美军后他以调查员身份接手调查一些可疑或有危险性的案件。,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p2855665342.jpg,美国,英语,烈探狙击(港) / 神隐任务(台) / 杰克·理查尔 / 游侠杰克 / Jack Reacher,tt9288030,https://movie.douban.com/subject/30378897/,8
你安全吗？,7.3,43967,曹盾,"檀健次, 荣梓杉, 逯恣祯, 赫雷, 赵魏, 曲栅栅, 冷心清, 刘姝辰, 梁大维, 徐璐, 高叶, 陈都灵",剧情,2022-09-11(中国大陆),40分钟,作为国内首部以网络安全为题材的作品，该剧以互联网信息安全为切入点，聚焦婚恋、教育、养老、职场等社会热点和民生话题。整个故事讲述了游走于网络世界的“三剑客”秦淮（檀健次 饰）周游（荣梓杉 饰）和陈默（赫雷 饰）虽性格迥异，但都秉持“科技向善”的初心，三人联手在一次又一次协助公安部门打击犯罪的过程中，从彼此猜疑到肝胆相照。,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p2879872687.jpg,中国大陆,汉语普通话,石破天惊 / Are You Safe,tt23333232,https://movie.douban.com/subject/35479713/,31
人生第一次,9.0,78237,秦博,"涂松岩, 高亚麟, 王耀庆, 秦博, 韩童生, 郎月婷, 辛柏青, 王仁君, 寇振海, 张钧甯, 许文广, 阿云嘎",纪录片,2020-01-15(中国大陆),32分钟,洞察人间凡事，体味人生百态。央视网系列人文纪录片《人生第一次》旨在通过蹲守拍摄，观察不同人群在人生重要节点的“第一次”：第一次上学、第一次上班、第一次走进军营，许多“第一次”串联起我们人生的重要节点，“初来乍到，请多关照”。,https://img9.doubanio.com/view/photo/s_ratio_poster/public/p2580673925.jpg,中国大陆,汉语普通话,The Firsts in Life,无,https://movie.douban.com/subject/34945795/,12
人体奥秘 Inside the Human Body,9.2,5528,纳特·沙曼,"迈克尔·莫斯利, 克里斯托弗·科顿",纪录片,2011-05-05(英国),50分钟,我们有史以来第一次以如此清晰的方式，目睹胚胎在一个月大到十星期大这个过程中的面部形成过程——直到这个过程结束，胚胎的体积也还只有一颗菜豆那么大。不过，更令人震惊的或许是影片本身——在子宫中，人类的“变形”并不比什么科幻动画与电影作品中的机器人来得平淡。胚胎的发育是地球生物演化数十亿年的缩影，人类的本源和几乎所有其它生物一样，在于鱼类。因此，人类的眼睛也同样是先出现在头的两侧，到后来才转移到中间；你的下唇与颚部最初出现在颈部的位置，一如鱼类的腮，而上唇和鼻孔则是从脑袋的上方逐渐降下来和下面“合体这一切扭曲、旋转、移动与拼接浑然天成，没有一道疤痕和缺口，不过在拼接的交汇处终究还是留下了一点痕迹，那就是你的人中以上内容出自BBC节目Inside the Human Body，由Michael Mosley博士主持。节目中还介绍了诸如“打嗝是从鱼类和两栖类继...,https://img1.doubanio.com/view/photo/s_ratio_poster/public/p2408166698.jpg,英国,英语,无,tt1929678,https://movie.douban.com/subject/6558363/,4
盗墓笔记之云顶天宫,2.6,40564,刘国辉,"白澍, 张博宇, 赵东泽, 赵芮菡, 姚橹, 何中华, 斯琴高娃, 刘学义, 李泽, 彭禺厶, 姚奕辰, 黄羿, 白一弘","悬疑, 奇幻, 冒险",2021-07-11(中国大陆),48分钟,讲述吴邪、王胖子、小哥、解雨臣等人配合国家有关部门，追查裘德考率领的古文物盗贩团伙，最终在长白山云顶天宫，查明裘德考多年觊觎国宝的阴谋，并成功阻止不法分子的盗墓行动的故事。,https://img1.doubanio.com/view/photo/s_ratio_poster/public/p2668938219.jpg,中国大陆,汉语普通话,云顶天宫 / 考古笔记 第二季 / 盗墓笔记 第二季,无,https://movie.douban.com/subject/26617075/,24
三体,3.8,161333,林铭浩,"马正阳, 范哲琛, 段艺璇, 赵成晨, 杨晨, 杨默, 赵震, 汤水雨, 高增志, 胡正健, 任京浩, 图特哈蒙, 薄棠, 刘小倩, 露西, 高启帆, 凃雄飞, 余昊威, 马海燕, 王宇腾, 孙熹鹤, 林强, 夏觅尘","剧情, 科幻, 动画",2022-12-10(中国大陆),35分钟,"在那个动荡的年代，历经磨难的叶文洁，在寒风刺骨的北大荒，朝向深空发送了断送人类乃至太阳系的讯息。几十年过去，巴拿马运河上，古筝行动以优雅而残酷的方式对背叛了人类的一群人进行血之审判。作为始作俑者的汪淼（赵成晨 配音）恐惧、战栗，而粗俗蛮横的大史（范哲琛 配音）却饶有兴致看着眼前这令人咋舌的场面。“物理学不存在了”，人类也将不存在了。当三体人的舰队浩浩荡荡朝着地球驶来时，有的人惶恐，有的人背叛，有的人绝望，却又有不少人虽千万人吾往矣，宁可牺牲自己也奋起反抗。古筝行动紧随着面壁人计划，横亘数百年的文明对决拉开序幕……
                                    
                                　　本片根据刘慈欣同名小说改编。",https://img2.doubanio.com/view/photo/s_ratio_poster/public/p2885057891.jpg,中国大陆,汉语普通话,三体动画版 / 三体Animation,tt24244206,https://movie.douban.com/subject/34444648/,15
一人之下 第五季,8.8,38858,陈烨,"曹云图, 小连杀, 巩大方, 赵铭洲, 藤新, 图特哈蒙, 宝木中阳, 彭尧","剧情, 动作, 动画",2022-12-09(中国大陆),24分钟,张楚岚、冯宝宝和临时工一行追捕陈朵，来到了碧游村。在查清了陈朵杀害廖忠真相的同时，对马仙洪和修身炉的处理也已经箭在弦上。夜黑风高夜，正是放火时，大战一触即发！决战·碧游村篇强势来袭！,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p2884530922.jpg,中国大陆,汉语普通话,一人之下5,无,https://movie.douban.com/subject/35725021/,12
